id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31124937,Home in San Francisco · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,208750284,Dongmei,,Bayview,37.73852,-122.39773,Private room,49,1,337,8/30/2023,5.92,3,337,94,2023-006856STR
31130054,Rental unit in San Francisco · ★3.75 · 1 bedroom · 1 bed · 1 private bath,62034618,Ting Ting,,Outer Sunset,37.76529,-122.47825,Private room,62,30,4,7/23/2023,0.16,20,336,2,
31131163,Rental unit in San Francisco · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,62034618,Ting Ting,,Outer Sunset,37.76329,-122.47808,Private room,55,30,6,10/10/2022,0.12,20,330,1,
31146290,Hostel in San Francisco · ★4.83 · 1 bedroom · 1 bed · 1 private bath,117141107,Zarinah,,Haight Ashbury,37.76942,-122.44991,Private room,100,1,23,3/9/2020,0.4,43,0,0,License not needed per OSTR
31155952,Condo in San Francisco · ★4.90 · 3 bedrooms · 3 beds · 2 baths,133755963,Lee,,Outer Richmond,37.77671,-122.48692,Entire home/apt,599,4,10,8/8/2022,0.18,3,0,0,STR-0003729
31157758,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Nob Hill,37.790598,-122.410225,Entire home/apt,216,31,0,,,150,233,0,
31173023,Home in San Francisco · ★4.96 · 1 bedroom · 2 beds · 1 private bath,100586872,Gaineng,,Financial District,37.79038,-122.4069,Private room,133,1,430,8/27/2023,7.94,4,289,91,STR-0004622
31206489,Home in San Francisco · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,21196676,Craig,,Noe Valley,37.74768829,-122.4252167,Private room,79,1,221,8/14/2023,3.89,5,122,39,STR-0003573
31221757,Rental unit in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,41871689,Winnie,,Potrero Hill,37.75262451,-122.3939209,Entire home/apt,180,2,5,8/20/2023,2.08,1,86,5,STR-0004517
31233442,Home in San Francisco · ★New · 3 bedrooms · 3 beds · 1.5 baths,46797041,Will,,Bernal Heights,37.74295,-122.41895,Entire home/apt,343,3,0,,,1,159,0,2023-007390STR
31266646,Rental unit in San Francisco · ★4.83 · 1 bedroom · 1 bed · 1 bath,52178915,Jim,,Downtown/Civic Center,37.77946,-122.42291,Entire home/apt,165,2,52,7/5/2023,0.92,42,2,12,Exempt
31281387,Condo in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 private bath,2797889,Shri,,Western Addition,37.77152,-122.43044,Private room,150,31,12,12/5/2019,0.22,1,0,0,STR-0004696
